x,y
3.858483782320405453e+01,2.044381016661619199e+01
3.679259306248475525e+01,2.265053585688518822e+01
3.500863168469994235e+01,2.501068553611201395e+01
3.323542580829908388e+01,2.751124128380408251e+01
3.147532814491042430e+01,3.013767678198930966e+01
2.973056562757300014e+01,3.287408760150813691e+01
2.800323359046855387e+01,3.570333612620767383e+01
2.629529052041200643e+01,3.860720959973648547e+01
2.460855339802725084e+01,4.156658963589530487e+01
2.294469364412636736e+01,4.456163140789924881e+01
2.130523368435254383e+01,4.757195062581590150e+01
1.969154414263313058e+01,5.057681632606598754e+01
1.810484167144584688e+01,5.355534743312484380e+01
1.654618742432191070e+01,5.648671101217984614e+01
1.501648617342195102e+01,5.935032011291068699e+01
1.351648607241811106e+01,6.212602910900201181e+01
1.204677906232285522e+01,6.479432446539371426e+01
1.060780191532430550e+01,6.733650891533861227e+01
9.199837909129062297e+00,6.973487710151339058e+01
7.823019121795603326e+00,7.197288082890266026e+01
6.477329334560435470e+00,7.403528219093357166e+01
5.162607527741467806e+00,7.590829296309823349e+01
3.878551952440929540e+00,7.757969880861030276e+01
2.624724758491190357e+00,7.903896700681850973e+01
1.400557156881804488e+00,8.027733659531943999e+01
2.053550927998308850e-01,8.128789000896416894e+01
-9.616945965935466134e-01,8.206560550111815644e+01
-2.101517567430270184e+00,8.260738984237175941e+01
-3.215144927007781206e+00,8.291209100708199742e+01
-4.303705795494287223e+00,8.298049077628152759e+01
-5.368419504224226202e+00,8.281527740419674899e+01
-6.410587464741538177e+00,8.242099871246203691e+01
-7.431584744003020049e+00,8.180399618869793699e+01
-8.432851382267223528e+00,8.097232087209431484e+01
-9.415883491152580831e+00,7.993563200572722849e+01
-1.038222417015884247e+01,7.870507962136503011e+01
-1.133345428059213056e+01,7.729317239543966878e+01
-1.227118311632824543e+01,7.571363227276016516e+01
-1.319703901117578759e+01,7.398123749569653285e+01
-1.411265992276813641e+01,7.211165579941466319e+01
-1.501968403291889587e+01,7.012126963694045401e+01
-1.591974040421385261e+01,6.802699538026602966e+01
