x,y
3.858483782320405453e+01,2.044381016661619199e+01
3.819136404532648044e+01,2.091383175836379138e+01
3.779819221442801336e+01,2.139166744327162917e+01
3.740534976420991597e+01,2.187720008803359661e+01
3.701286387782749188e+01,2.237030867425470149e+01
3.662076148415022203e+01,2.287086834815242398e+01
3.622906925407714596e+01,2.337875047220892100e+01
3.583781359690760837e+01,2.389382267874919208e+01
3.544702065676894165e+01,2.441594892541802153e+01
3.505671630910010350e+01,2.494498955252930728e+01
3.466692615719363602e+01,2.548080134225819293e+01
3.427767552879543445e+01,2.602323757964699169e+01
3.388898947276321394e+01,2.657214811539487442e+01
3.350089275578424974e+01,2.712737943039952171e+01
3.311340985915302326e+01,2.768877470201855573e+01
3.272656497560905109e+01,2.825617387201796049e+01
3.234038200623587045e+01,2.882941371617286563e+01
3.195488455742131606e+01,2.940832791548632486e+01
3.157009593787970658e+01,2.999274712899011064e+01
3.118603915573654461e+01,3.058249906809057705e+01
3.080273691567618499e+01,3.117740857242299413e+01
3.042021161615280178e+01,3.177729768717535563e+01
3.003848534666519754e+01,3.238198574184306011e+01
2.965757988509631105e+01,3.299128943037444373e+01
2.927751669511675914e+01,3.360502289266756293e+01
2.889831692365419968e+01,3.422299779737570447e+01
2.852000139842804671e+01,3.484502342598062796e+01
2.814259062555012036e+01,3.547090675809103288e+01
2.776610478719177166e+01,3.610045255792267227e+01
2.739056373931766331e+01,3.673346346191640066e+01
2.701598700948674647e+01,3.736974006745019494e+01
2.664239379472061131e+01,3.800908102259933941e+01
2.626980295943968002e+01,3.865128311690001794e+01
2.589823303346744510e+01,3.929614137306993626e+01
2.552770221010319318e+01,3.994344913963905697e+01
2.515822834426328924e+01,4.059299818444442565e+01
2.478982895069188430e+01,4.124457878893971241e+01
2.442252120224001999e+01,4.189797984327445590e+01
2.405632192821516213e+01,4.255298894209131788e+01
2.369124761279991631e+01,4.320939248099503516e+01
2.332731439354090242e+01,4.386697575364318880e+01
2.296453805990781305e+01,4.452552304940900996e+01
2.260293405192275173e+01,4.518481775156748625e+01
2.224251745886026299e+01,4.584464243595374455e+01
2.188330301801802591e+01,4.650477897004407879e+01
2.152530511355845988e+01,4.716500861240930931e+01
2.116853777542135617e+01,4.782511211248912986e+01
2.081301467830770235e+01,4.848486981063731349e+01
2.045874914073475637e+01,4.914406173838666092e+01
2.010575412416256924e+01,4.980246771888209878e+01
1.975404223219182143e+01,5.045986746743181328e+01
1.940362570983362289e+01,5.111604069212347667e+01
1.905451644285023960e+01,5.177076719445705777e+01
1.870672595716808218e+01,5.242382696993956159e+01
1.836026541836214676e+01,5.307500030859308282e+01
1.801514563121215673e+01,5.372406789532393390e+01
