race,sex,age,priors_count,c_charge_degree,two_year_recid
Other,Male,69,0,F,0
African-American,Male,34,0,F,1
African-American,Male,24,4,F,1
African-American,Male,23,1,F,0
Other,Male,43,2,F,0
Other,Male,44,0,M,0
Caucasian,Male,41,14,F,1
Other,Male,43,3,F,0
Caucasian,Female,39,0,M,0
Caucasian,Male,21,1,F,1
Caucasian,Male,27,0,F,0
African-American,Male,23,3,M,1
Caucasian,Female,37,0,M,0
African-American,Male,41,0,F,0
Caucasian,Female,47,1,F,1
African-American,Male,31,7,F,1
Hispanic,Male,37,0,M,0
African-American,Male,25,3,F,0
Caucasian,Male,31,6,F,1
Caucasian,Male,31,5,F,1
African-American,Male,64,13,F,1
African-American,Male,21,1,F,1
Caucasian,Male,27,0,M,1
Caucasian,Female,21,0,F,0
Hispanic,Male,24,1,F,1
Caucasian,Male,43,1,M,0
Other,Male,32,0,M,0
African-American,Male,27,8,F,1
Caucasian,Female,36,3,F,0
African-American,Male,26,5,F,1
African-American,Male,33,0,F,1
Caucasian,Male,30,9,F,1
African-American,Male,32,4,F,1
Caucasian,Male,55,0,F,0
Other,Male,49,7,F,1
Caucasian,Male,26,6,M,0
Caucasian,Female,33,4,M,1
Caucasian,Male,24,1,M,1
African-American,Male,34,21,F,1
Caucasian,Male,29,0,M,0
African-American,Female,21,2,F,0
African-American,Male,51,2,M,0
Caucasian,Male,29,2,M,1
African-American,Female,51,7,F,0
African-American,Male,29,0,F,1
Caucasian,Male,25,9,M,1
African-American,Male,35,13,F,1
Caucasian,Male,49,0,M,0
African-American,Male,34,4,M,1
African-American,Male,29,0,F,0
Caucasian,Male,29,1,F,1
Other,Female,28,0,F,0
Caucasian,Male,48,20,F,1
Hispanic,Female,63,1,F,0
African-American,Male,31,15,F,0
African-American,Male,24,2,F,1
Hispanic,Male,30,0,M,0
African-American,Male,49,4,M,0
Caucasian,Male,53,8,F,0
African-American,Male,35,5,F,0
African-American,Male,63,10,M,1
African-American,Male,27,15,F,1
Caucasian,Male,38,4,M,1
African-American,Male,22,1,F,1
African-American,Male,22,2,F,1
African-American,Male,29,4,F,1
Hispanic,Male,62,0,M,0
African-American,Male,27,6,F,1
Other,Male,33,0,M,0
African-American,Female,56,0,M,0
Hispanic,Male,45,6,F,1
Hispanic,Male,22,1,F,0
African-American,Male,39,1,M,0
African-American,Male,29,5,F,1
Caucasian,Male,27,1,F,1
African-American,Male,40,2,F,0
African-American,Male,22,1,M,1
Caucasian,Male,22,0,F,0
African-American,Female,26,1,F,1
Caucasian,Male,27,1,F,1
African-American,Male,32,0,F,0
African-American,Male,41,1,M,0
African-American,Male,30,8,M,1
Other,Male,50,0,F,1
African-American,Male,25,14,F,1
Other,Male,20,0,F,1
African-American,Male,22,2,F,1
African-American,Male,23,2,M,1
African-American,Female,35,1,M,0
African-American,Male,36,9,F,1
Caucasian,Male,26,7,F,1
Other,Male,21,1,F,1
Caucasian,Male,25,9,F,1
African-American,Male,71,12,M,0
Caucasian,Female,20,0,F,0
Caucasian,Male,39,2,F,1
Caucasian,Male,66,3,F,0
Caucasian,Female,54,0,M,0
Hispanic,Female,44,0,M,0
African-American,Male,19,1,M,1
African-American,Male,24,1,F,0
African-American,Male,30,1,F,0
Caucasian,Female,39,0,F,1
Caucasian,Male,24,8,F,1
Caucasian,Male,30,0,F,0
Caucasian,Male,31,0,M,0
Caucasian,Female,39,1,F,0
African-American,Male,59,14,F,1
Caucasian,Male,43,1,F,0
African-American,Male,21,3,F,1
Caucasian,Male,38,5,M,1
Caucasian,Male,34,0,F,0
African-American,Male,33,5,F,1
African-American,Male,37,3,F,0
Caucasian,Male,42,1,F,1
African-American,Male,41,10,F,1
African-American,Male,22,0,F,1
African-American,Male,33,28,F,1
African-American,Male,31,1,M,0
Other,Female,30,1,F,0
Caucasian,Male,31,13,F,1
African-American,Male,27,3,F,1
African-American,Male,56,8,F,0
Caucasian,Male,52,3,M,0
African-American,Male,33,19,F,1
Caucasian,Female,64,2,M,0
Caucasian,Male,22,4,F,1
Caucasian,Male,42,6,F,0
Caucasian,Female,25,2,F,0
Caucasian,Male,30,1,M,0
Caucasian,Male,28,2,F,0
Other,Female,37,2,M,0
Caucasian,Male,28,0,M,1
African-American,Female,24,0,M,0
Caucasian,Female,29,10,F,1
Caucasian,Male,44,2,M,1
Hispanic,Female,30,4,F,1
African-American,Male,32,3,F,1
Caucasian,Male,31,2,M,1
African-American,Male,31,1,M,0
Caucasian,Male,59,1,F,1
Caucasian,Female,45,4,F,0
African-American,Female,20,1,F,0
Caucasian,Female,43,0,M,0
African-American,Male,38,9,F,1
African-American,Male,32,11,F,1
African-American,Male,33,8,M,1
African-American,Female,31,0,F,1
African-American,Female,33,7,F,1
African-American,Male,27,2,F,1
African-American,Female,20,0,F,0
Caucasian,Female,26,0,M,0
African-American,Female,61,1,F,1
Other,Male,52,13,F,1
Hispanic,Male,63,1,F,0
African-American,Female,32,4,F,1
Hispanic,Male,29,1,F,0
Other,Female,46,1,F,0
African-American,Female,26,2,M,1
African-American,Male,55,3,M,0
Caucasian,Male,39,1,M,0
Caucasian,Female,30,3,F,1
African-American,Male,30,1,F,0
Caucasian,Male,48,2,M,0
African-American,Male,22,1,F,0
Caucasian,Male,46,6,F,1
Caucasian,Female,49,6,F,0
Caucasian,Male,31,0,F,0
African-American,Male,25,1,M,1
Hispanic,Male,23,0,F,0
African-American,Female,32,5,F,0
Hispanic,Male,52,2,M,0
African-American,Male,62,8,F,0
Caucasian,Female,37,6,F,0
Caucasian,Male,55,1,F,0
Hispanic,Male,31,8,F,1
African-American,Male,28,6,M,1
Hispanic,Male,54,2,F,0
Hispanic,Male,58,0,F,0
Caucasian,Male,78,1,M,1
Caucasian,Male,56,0,F,0
Other,Male,24,0,F,0
African-American,Male,38,22,F,1
African-American,Male,22,1,F,1
African-American,Male,47,23,M,1
African-American,Male,23,0,M,1
Hispanic,Male,57,1,F,0
Caucasian,Female,38,2,F,1
African-American,Male,66,3,F,0
Caucasian,Male,45,8,M,1
Other,Female,52,0,M,1
African-American,Male,32,13,F,1
African-American,Male,37,2,M,1
Caucasian,Male,39,0,F,1
African-American,Male,26,9,F,1
Caucasian,Male,45,2,F,0
African-American,Male,23,0,F,1
African-American,Male,34,2,M,0
African-American,Female,23,1,M,0
Other,Male,36,2,M,1
Caucasian,Male,50,1,F,0
Caucasian,Female,37,0,M,0
Caucasian,Male,44,4,M,0
African-American,Female,35,23,F,1
Other,Male,24,5,F,1
African-American,Male,26,2,F,1
African-American,Male,27,0,M,0
African-American,Female,28,0,F,0
Caucasian,Male,43,11,F,1
Caucasian,Female,28,7,F,1
African-American,Male,38,2,F,0
Caucasian,Male,27,2,M,0
African-American,Female,28,1,F,0
Caucasian,Male,56,7,F,1
African-American,Male,38,15,F,0
African-American,Male,28,2,M,0
African-American,Male,45,3,F,0
Hispanic,Male,28,0,M,0
Caucasian,Male,61,1,F,0
Caucasian,Female,51,0,M,1
Caucasian,Male,51,0,M,0
Other,Male,36,1,M,1
African-American,Male,48,0,F,0
Caucasian,Male,37,4,F,1
African-American,Female,30,2,F,0
African-American,Female,41,5,M,0
African-American,Male,27,11,F,1
African-American,Male,37,0,M,0
Other,Male,33,4,F,1
African-American,Male,54,11,F,0
African-American,Male,23,2,F,0
