Publication date,Modality,Classifier,Sample size,Accuracy
2004,Brain imaging,Discriminant function analysis,67,95.8
2010,Brain imaging,Tree/forest,38,87.0
2010,Brain imaging,SVM,44,77.0
2010,Brain imaging,SVM,40,85.0
2011,Brain imaging,SVM,75,80.0
2011,Brain imaging,Thresholding,80,79.0
2011,Brain imaging,SVM,48,92.0
2012,Brain imaging,Logistic regression,27,96.0
2013,Brain imaging,Logistic regression,40,78.0
2013,Brain imaging,SVM,30,95.9
2014,Brain imaging,Naive Bayes,34,97.0
2014,Brain imaging,SVM,117,96.3
2014,Brain imaging,SVM,92,85.0
2014,Brain imaging,Tree/forest,280,70.0
2014,Brain imaging,SVM,24,94.7
2015,Brain imaging,Tree/forest,252,91.0
2015,Brain imaging,SVM,80,76.0
2015,Brain imaging,SVM,296,76.7
2015,Brain imaging,Neural network,640,90.0
2015,Brain imaging,Tree/forest,37,91.9
2016,Brain imaging,SVM,47,87.5
2016,Brain imaging,SVM,1111,65.0
2016,Brain imaging,Logistic regression,181,85.0
2016,Brain imaging,SVM,240,79.2
2016,Brain imaging,SVM,29,92.3
2017,Brain imaging,Tree/forest,25,100.0
2017,Brain imaging,Neural network,110,86.4
2017,Brain imaging,Neural network,133,80.8
2017,Brain imaging,SVM,37,95.0
2018,Brain imaging,KNN,19,94.2
2018,Brain imaging,SVM,149,78.3
2018,Brain imaging,SVM,84,96.2
2018,Brain imaging,SVM,800,64.3
2018,Brain imaging,SVM,283,91.0
2018,Brain imaging,Neural network,185,65.6
2018,Brain imaging,Partial least square regression,372,62.0
2018,Brain imaging,Neural network,1035,70.0
2019,Brain imaging,SVM,51,95.0
2019,Brain imaging,SVM,92,79.4
2019,Brain imaging,Tree/forest,57,75.3
2019,Brain imaging,Neural network,182,90.4
2018,Behavioural/cognitive,Tree/forest,105,72.7
2014,Clinical chemistry,SVM,82,81.0
2018,Clinical chemistry,SVM,69,89.0
2016,Eye tracking,SVM,87,88.5
2019,Eye tracking,Discriminant function analysis,74,85.1
2015,Gene expression,Tree/forest,146,78.4
2017,Gene expression,SVM,42,93.8
2009,Motion tracking,SVM,20,100.0
2015,Motion tracking,SVM,30,96.7
2016,Motion tracking,Tree/forest,82,93.0
2018,Motion tracking,SVM,30,93.3
2018,Motion tracking,Neural network,44,98.4
2019,Personal characteristic data,Neural network,851,62.0
2018,Video ratings,Logistic regression,162,80.3
